_id,reactant,product,reaction,condition,template_r0,template_r1
1,CC#CC.BrBr,CC(Br)=C(Br)C,[CH3:1][C:2]#[C:4][CH3:6].[Br:5][Br:3]>>[CH3:1][C:2]([Br:3])=[C:4]([Br:5])[CH3:6],"Br2,低温",[Br;H0;D1;+0:1]-[C;H0;D3;+0:3]=[C;H0;D3;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;H0;D2;+0:3]#[C;H0;D2;+0:4],[Br;H0;D1;+0:1]-[C;H0;D3;+0:4](-[C;D1;H3:3])=[C;H0;D3;+0:5](-[Br;H0;D1;+0:2])-[C;D1;H3:6]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[C;D1;H3:6]
2,CC#CC.Br,CC=C(Br)C,[CH3:1][C:2]#[C:3][CH3:5].[BrH:4]>>[CH3:1][CH:2]=[C:3]([Br:4])[CH3:5],HBr,[Br;H0;D1;+0:1]-[C;H0;D3;+0:3]=[CH;D2;+0:2]>>[BrH;D0;+0:1].[C;H0;D2;+0:2]#[C;H0;D2;+0:3],[Br;H0;D1;+0:1]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:3]-[C;D1;H3:2]>>[BrH;D0;+0:1].[C;D1;H3:2]-[C;H0;D2;+0:3]#[C;H0;D2;+0:4]-[C;D1;H3:5]
3,C(C)C=C(C)C.BrBr.OC,CC(C)(OC)C(Br)(C)C,[CH2:2]([CH3:3])[CH:1]=[C:6]([CH3:8])[CH3:9].[Br:7]Br.[OH:4][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[C:6]([Br:7])([CH3:8])[CH3:9],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2]-[C;H0;D4;+0:4](-[CH3;D1;+0:3])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[C;H0;D4;+0:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[CH3;D1;+0:4])-[O;H0;D2;+0:9]-[C;D1;H3:8]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH2;D2;+0:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C;D1;H3:6])-[C;D1;H3:7].[C;D1;H3:8]-[OH;D1;+0:9]
4,C(C)C=C(C)C.BrBr.OCC,CC(C)(OCC)C(Br)(C)C,[CH2:2]([CH3:3])[CH:1]=[C:7]([CH3:9])[CH3:10].[Br:8]Br.[OH:4][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[C:7]([Br:8])([CH3:9])[CH3:10],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2]-[C;H0;D4;+0:4](-[CH3;D1;+0:3])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[CH3;D1;+0:5])-[O;H0;D2;+0:9]-[C:8]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;D1;H3:7].[C:8]-[OH;D1;+0:9]
5,C(C)C=C(C)C.BrBr.OC(C)C,CC(C)(OC(C)C)C(Br)(C)C,[CH2:2]([CH3:3])[CH:1]=[C:8]([CH3:10])[CH3:11].[Br:9]Br.[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[C:8]([Br:9])([CH3:10])[CH3:11],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2]-[C;H0;D4;+0:4](-[CH3;D1;+0:3])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[CH3;D1;+0:5])-[O;H0;D2;+0:9]-[C:8]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;D1;H3:7].[C:8]-[OH;D1;+0:9]
6,CC1CCCCC1.BrBr,BrC1(C)CCCCC1,[CH3:3][CH:2]1[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1.[Br:1]Br>>[Br:1][C:2]1([CH3:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1,Br2,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2]>>Br-[Br;H0;D1;+0:1].[CH;D3;+0:2],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C:2])(-[C:4])-[C;D1;H3:5]>>Br-[Br;H0;D1;+0:1].[C:2]-[CH;D3;+0:3](-[C:4])-[C;D1;H3:5]
7,C(C)C=C(C)C.BrBr.Cl,CC(C)(Cl)C(Br)(C)C,[CH2:8]([CH3:7])[CH:5]=[C:2]([CH3:1])[CH3:3].[Br:6]Br.[ClH:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[C:5]([Br:6])([CH3:7])[CH3:8],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[CH3;D1;+0:5])(-[CH3;D1;+0:4])-[C;H0;D4;+0:2]-[Cl;H0;D1;+0:6]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:4]-[CH3;D1;+0:5].[ClH;D0;+0:6],[Br;H0;D1;+0:1]-[C;H0;D4;+0:5](-[CH3;D1;+0:7])(-[CH3;D1;+0:6])-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[Cl;H0;D1;+0:8]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH;D2;+0:5]-[CH2;D2;+0:6]-[CH3;D1;+0:7].[ClH;D0;+0:8]
8,C(C)C=C(C)C.BrBr.O,CC(C)(O)C(Br)(C)C,[CH2:8]([CH3:7])[CH:5]=[C:2]([CH3:1])[CH3:3].[Br:6]Br.[OH2:4]>>[CH3:1][C:2]([CH3:3])([OH:4])[C:5]([Br:6])([CH3:7])[CH3:8],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[CH3;D1;+0:5])(-[CH3;D1;+0:4])-[C;H0;D4;+0:2]-[OH;D1;+0:6]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:4]-[CH3;D1;+0:5].[OH2;D0;+0:6],[Br;H0;D1;+0:1]-[C;H0;D4;+0:5](-[CH3;D1;+0:7])(-[CH3;D1;+0:6])-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[OH;D1;+0:8]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH;D2;+0:5]-[CH2;D2;+0:6]-[CH3;D1;+0:7].[OH2;D0;+0:8]
9,CC#CC.BrBr,CC(Br)(Br)C(Br)(Br)C,[CH3:8][C:5]#[C:2][CH3:1].[Br:6][Br:3]>>[CH3:1][C:2]([Br:3])([Br:4])[C:5]([Br:6])([Br:7])[CH3:8],"Br2, 高温",[Br;H0;D1;+0:1]-[C;H0;D4;+0:3]-[C;H0;D4;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;H0;D2;+0:3]#[C;H0;D2;+0:4],[Br;H0;D1;+0:1]-[C;H0;D4;+0:4](-[C;D1;H3:3])-[C;H0;D4;+0:5](-[Br;H0;D1;+0:2])-[C;D1;H3:6]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[C;D1;H3:6]
10,CC(C)=CC.BrBr,CC(C)(Br)C(Br)C,[CH3:1][C:2]([CH3:3])=[CH:5][CH3:7].[Br:6][Br:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH:5]([Br:6])[CH3:7],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:3]-[CH;D3;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;H0;D3;+0:3]=[CH;D2;+0:4],[Br;H0;D1;+0:1]-[C;H0;D4;+0:4](-[C;D1;H3:3])(-[C;D1;H3:5])-[CH;D3;+0:6](-[Br;H0;D1;+0:2])-[C;D1;H3:7]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]-[C;D1;H3:7]
